気象官署名,郵便番号,所在地等,電話番号,区分
気象庁,105-8431,東京都港区虎ノ門3-6-9,03-6758-3900,気象庁
気象研究所,305-0052,茨城県つくば市長峰1-1,029-853-8552,施設等機関
気象衛星センター,204-0012,東京都清瀬市中清戸3-235,042-493-1111,施設等機関
高層気象台,305-0052,茨城県つくば市長峰1-2,029-851-4125,施設等機関
地磁気観測所,315-0116,茨城県石岡市柿岡595,0299-43-1151,施設等機関
気象大学校,277-0852,千葉県柏市旭町7-4-81,04-7144-7185,施設等機関
札幌管区気象台,060-0002,北海道札幌市中央区北2条西18-2,011-611-6127,管区気象台等
函館地方気象台,041-0806,北海道函館市美原3-4-4,0138-46-2214,管区気象台等
旭川地方気象台,078-8391,北海道旭川市宮前1条3丁目3番15号,0166-32-7101,管区気象台等
室蘭地方気象台,051-0012,北海道室蘭市山手町2-6-8,0143-22-2598,管区気象台等
釧路地方気象台,085-8586,北海道釧路市幸町10- 3 釧路地方合同庁舎,0154-31-5145,管区気象台等
網走地方気象台,093-0031,北海道網走市台町2-1-6,0152-44-6891,管区気象台等
稚内地方気象台,097-0023,北海道稚内市開運2-2-1 稚内港湾合同庁舎,0162-23-6016,管区気象台等
仙台管区気象台,983-0842,宮城県仙台市宮城野区五輪1-3-15 仙台第３合同庁舎,022-297-8100,管区気象台等
青森地方気象台,030-0966,青森県青森市花園1-17-19,017-741-7412,管区気象台等
盛岡地方気象台,020-0821,岩手県盛岡市山王町7-60,019-622-7869,管区気象台等
秋田地方気象台,010-0951,秋田県秋田市山王7-1-4 秋田第二合同庁舎,018-824-0376,管区気象台等
山形地方気象台,990-0041,山形県山形市緑町1-5-77,023-624-1946,管区気象台等
福島地方気象台,960-8018,福島県福島市松木町1-9,024-534-6724,管区気象台等
東京管区気象台,204-8501,東京都清瀬市中清戸3-235,042-497-7182,管区気象台等
水戸地方気象台,310-0066,茨城県水戸市金町1-4-6,029-224-1107,管区気象台等
宇都宮地方気象台,320-0845,栃木県宇都宮市明保野町1-4 宇都宮第２地方合同庁舎,028-633-2766,管区気象台等
前橋地方気象台,371-0026,群馬県前橋市大手町2-3-1 前橋地方合同庁舎,027-896-1190,管区気象台等
熊谷地方気象台,360-0814,埼玉県熊谷市桜町1-6-10,048-521-7911,管区気象台等
銚子地方気象台,288-0001,千葉県銚子市川口町2-6431 銚子港湾合同庁舎,0479-22-0374,管区気象台等
横浜地方気象台,231-0862,神奈川県横浜市中区山手町99,045-621-1563,管区気象台等
新潟地方気象台,950-0954,新潟県新潟市中央区美咲町1-2-1 新潟美咲合同庁舎2号館,025-281-5873,管区気象台等
富山地方気象台,930-0892,富山県富山市石坂2415,076-432-2332,管区気象台等
金沢地方気象台,920-0024,石川県金沢市西念3-4-1 金沢駅西合同庁舎,076-260-1461,管区気象台等
福井地方気象台,910-0857,福井県福井市豊島2-5-2,0776-24-0096,管区気象台等
甲府地方気象台,400-0035,山梨県甲府市飯田4-7-29,055-222-3634,管区気象台等
長野地方気象台,380-0801,長野県長野市箱清水1-8-18,026-232-2738,管区気象台等
岐阜地方気象台,500-8484,岐阜県岐阜市加納二之丸6,058-271-4109,管区気象台等
静岡地方気象台,422-8006,静岡県静岡市駿河区曲金2-1-5,054-286-6919,管区気象台等
名古屋地方気象台,464-0039,愛知県名古屋市千種区日和町2-18,052-751-5577,管区気象台等
津地方気象台,514-0002,三重県津市島崎町327-2 津第2地方合同庁舎,059-228-4745,管区気象台等
